testname,percentage,nodes,policy,min_support,time,rule_score,tree_score,winner
LUAD o LUSC,0.05,10000,bfs,0.1,0.159,0.686,0.714,0
LUAD o LUSC,0.05,10000,bfs,0.1,0.183,0.8,0.757,1
LUAD o LUSC,0.05,10000,bfs,0.1,0.169,0.743,0.771,0
LUAD o LUSC,0.05,10000,bfs,0.3,0.062,0.714,0.7,1
LUAD o LUSC,0.05,10000,bfs,0.3,0.062,0.571,0.714,0
LUAD o LUSC,0.05,10000,bfs,0.3,0.061,0.714,0.7,1
LUAD o LUSC,0.05,10000,bfs,0.4,0.034,0.771,0.614,1
LUAD o LUSC,0.05,10000,bfs,0.4,0.033,0.743,0.729,1
LUAD o LUSC,0.05,10000,bfs,0.4,0.274,0.7,0.657,1
LUAD o LUSC,0.05,100000,objective,0.01,0.712,0.686,0.6,1
LUAD o LUSC,0.05,100000,objective,0.01,0.71,0.614,0.7,0
LUAD o LUSC,0.05,100000,objective,0.01,0.799,0.729,0.7,1
LUAD o LUSC,0.05,100000,objective,0.1,0.797,0.614,0.586,1
LUAD o LUSC,0.05,100000,objective,0.1,0.744,0.757,0.714,1
LUAD o LUSC,0.05,100000,objective,0.1,1.456,0.629,0.686,0
LUAD o LUSC,0.05,100000,objective,0.3,8.065,0.743,0.714,1
LUAD o LUSC,0.05,100000,objective,0.3,6.03,0.686,0.729,0
LUAD o LUSC,0.05,100000,objective,0.3,8.351,0.757,0.786,0
LUAD o LUSC,0.05,100000,objective,0.4,0.034,0.729,0.629,1
LUAD o LUSC,0.05,100000,objective,0.4,0.035,0.743,0.714,1
LUAD o LUSC,0.05,100000,objective,0.4,0.036,0.743,0.643,1
LUAD o LUSC,0.05,100000,lower_bound,0.01,0.795,0.643,0.629,1
LUAD o LUSC,0.05,100000,lower_bound,0.01,0.788,0.743,0.7,1
LUAD o LUSC,0.05,100000,lower_bound,0.01,0.825,0.786,0.671,1
LUAD o LUSC,0.05,100000,lower_bound,0.1,0.666,0.843,0.686,1
LUAD o LUSC,0.05,100000,lower_bound,0.1,0.653,0.743,0.7,1
LUAD o LUSC,0.05,100000,lower_bound,0.1,0.65,0.7,0.5,1
LUAD o LUSC,0.05,100000,lower_bound,0.3,0.867,0.614,0.629,0
LUAD o LUSC,0.05,100000,lower_bound,0.3,0.912,0.671,0.714,0
LUAD o LUSC,0.05,100000,lower_bound,0.3,1.727,0.714,0.7,1
LUAD o LUSC,0.05,100000,lower_bound,0.4,1.531,0.714,0.614,1
LUAD o LUSC,0.05,100000,lower_bound,0.4,0.033,0.643,0.686,0
LUAD o LUSC,0.05,100000,lower_bound,0.4,1.505,0.743,0.7,1
LUAD o LUSC,0.05,100000,curious,0.01,0.814,0.729,0.729,2
LUAD o LUSC,0.05,100000,curious,0.01,0.821,0.757,0.586,1
LUAD o LUSC,0.05,100000,curious,0.01,0.827,0.729,0.586,1
LUAD o LUSC,0.05,100000,curious,0.1,0.664,0.829,0.671,1
LUAD o LUSC,0.05,100000,curious,0.1,0.685,0.729,0.6,1
LUAD o LUSC,0.05,100000,curious,0.1,0.675,0.743,0.529,1
LUAD o LUSC,0.05,100000,curious,0.3,1.501,0.586,0.657,0
LUAD o LUSC,0.05,100000,curious,0.3,1.12,0.729,0.5,1
LUAD o LUSC,0.05,100000,curious,0.3,0.873,0.771,0.686,1
LUAD o LUSC,0.05,100000,curious,0.4,0.034,0.686,0.714,0
LUAD o LUSC,0.05,100000,curious,0.4,0.035,0.571,0.614,0
LUAD o LUSC,0.05,100000,curious,0.4,0.036,0.786,0.829,0
LUAD o LUSC,0.05,100000,bfs,0.01,0.822,0.6,0.643,0
LUAD o LUSC,0.05,100000,bfs,0.01,0.82,0.629,0.643,0
LUAD o LUSC,0.05,100000,bfs,0.01,0.825,0.743,0.657,1
LUAD o LUSC,0.05,100000,bfs,0.1,0.642,0.714,0.657,1
LUAD o LUSC,0.05,100000,bfs,0.1,0.697,0.714,0.771,0
LUAD o LUSC,0.05,100000,bfs,0.1,0.624,0.743,0.614,1
LUAD o LUSC,0.05,100000,bfs,0.3,0.556,0.729,0.686,1
LUAD o LUSC,0.05,100000,bfs,0.3,0.509,0.614,0.657,0
