testname,percentage,nodes,policy,min_support,time,rule_score,tree_score,winner
OV o COADREAD,0.01,10000000,curious,0.01,205.847,0.912,0.863,1
OV o COADREAD,0.01,10000000,curious,0.01,204.963,0.922,0.892,1
OV o COADREAD,0.01,10000000,curious,0.3,109.367,0.951,0.824,1
OV o COADREAD,0.01,10000000,curious,0.3,113.169,0.961,0.843,1
OV o COADREAD,0.01,10000000,curious,0.3,123.735,0.931,0.892,1
OV o COADREAD,0.01,10000000,curious,0.4,0.251,0.333,0.882,0
OV o COADREAD,0.01,10000000,curious,0.4,0.251,0.392,0.863,0
OV o COADREAD,0.01,10000000,curious,0.4,0.251,0.422,0.804,0
OV o COADREAD,0.01,10000000,bfs,0.01,211.092,0.961,0.882,1
OV o COADREAD,0.01,10000000,bfs,0.01,214.108,0.951,0.882,1
OV o COADREAD,0.01,10000000,bfs,0.01,214.58,0.931,0.833,1
OV o COADREAD,0.01,10000000,bfs,0.3,95.819,0.931,0.873,1
OV o COADREAD,0.01,10000000,bfs,0.3,112.699,0.941,0.863,1
OV o COADREAD,0.01,10000000,bfs,0.3,135.327,0.961,0.833,1
OV o COADREAD,0.01,10000000,bfs,0.4,0.25,0.353,0.873,0
OV o COADREAD,0.01,10000000,bfs,0.4,0.249,0.412,0.902,0
OV o COADREAD,0.01,10000000,bfs,0.4,0.25,0.382,0.873,0
OV o COADREAD,0.01,10000000,bfs,0.1,34.19,0.98,0.833,1
OV o COADREAD,0.01,10000000,bfs,0.1,42.156,0.971,0.853,1
OV o COADREAD,0.01,10000000,bfs,0.1,53.17,0.951,0.853,1
OV o COADREAD,0.01,10000000,curious,0.1,2087.892,0.951,0.892,1
OV o COADREAD,0.01,10000000,curious,0.1,120.431,0.931,0.843,1
OV o COADREAD,0.01,10000000,curious,0.1,656.755,0.931,0.843,1
OV o COADREAD,0.01,10000000,lower_bound,0.1,28.756,0.941,0.853,1
OV o COADREAD,0.01,10000000,lower_bound,0.1,30.286,0.931,0.853,1
OV o COADREAD,0.01,10000000,lower_bound,0.1,38.192,0.922,0.902,1
OV o COADREAD,0.01,10000000,bfs,0.1,38.066,0.971,0.902,1
OV o COADREAD,0.01,10000000,bfs,0.1,45.109,0.912,0.922,0
OV o COADREAD,0.01,10000000,bfs,0.1,57.828,0.931,0.902,1
